clade_name,site
ZKS3,T2_skin
ZKS2,T1_skin
ZKS1,T-1_skin
ZJS3,T2_skin
ZJS2,T1_skin
ZJS1,T-1_skin
ZIS3,T2_skin
ZIS2,T1_skin
ZIS1,T-1_skin
ZHS3,T2_skin
ZHS2,T1_skin
ZHS1,T-1_skin
ZGS3,T2_skin
ZGS2,T1_skin
ZGS1,T-1_skin
ZFS3,T2_skin
ZFS2,T1_skin
ZES3,T2_skin
ZES2,T1_skin
ZES1,T-1_skin
ZDS3,T2_skin
ZDS2,T1_skin
ZDS1,T-1_skin
ZCS3,T2_skin
ZCS2,T1_skin
ZCS1,T-1_skin
ZBS3,T2_skin
ZBS2,T1_skin
ZBS1,T-1_skin
ZAS3,T2_skin
ZAS2,T1_skin
ZAS1,T-1_skin
DRB8D54,Dust
DRB8D53,Dust
DRB8D52,Dust
DRB8D51,Dust
DRB8D44,Dust
DRB8D43,Dust
DRB8D42,Dust
DRB8D41,Dust
DRB7F4,Faeces
DRB7F3,Faeces
DRB7F2,Faeces
DRB7F1,Faeces
DRB7D34,Dust
DRB7D33,Dust
DRB7D32,Dust
DRB7D31,Dust
DRB7D24,Dust
DRB7D23,Dust
DRB7D22,Dust
DRB7D21,Dust
DRB7D14,Dust
DRB7D13,Dust
DRB7D12,Dust
DRB7D11,Dust
DCRCD14,Dust
DCRCD13,Dust
DCRCD12,Dust
DCRCD11,Dust
DCCD4,Dust
DCCD3,Dust
DCCD2,Dust
DCCD1,Dust
DC8D4,Dust
DC8D3,Dust
DC8D2,Dust
DC8D1,Dust
DC75D4,Dust
DC75D3,Dust
DC75D2,Dust
DC75D1,Dust
DC74D4,Dust
DC74D3,Dust
DC74D2,Dust
DC74D1,Dust
CRB6ZFD4,Dust
CRB6ZFD3,Dust
CRB6ZFD2,Dust
CRB6ZFD1,Dust
CRB6XFD4,Dust
CRB6XFD3,Dust
CRB6XFD2,Dust
CRB6XFD1,Dust
CRB5XFD4,Dust
CRB5XFD3,Dust
CRB5XFD2,Dust
CRB5XFD1,Dust
CRB5F4,Faeces
CRB5F3,Faeces
CRB5F2,Faeces
CRB5F1,Faeces
CC5CD4,Dust
CC5CD3,Dust
CC5CD2,Dust
CC5CD1,Dust
